PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;68419;1119869;473855;1236755-1119869;16854;905677-1236755;50024117;1196573-905677
;;68419;1119869;43211;1119868-1119869;472069;1078766-1119868;50117019;1110890-1078766
;;68494;1096013;473319;1095974-1096013;417795;999927-1095974;50025673;1234835-999927
;;68653;1088610;47322;1088609-1088610;471581;1076785-1088609;50117744;1110587-1076785
;;68653;1088610;473179;1088552-1088610;10646;1374767-1088552;50102773;1203317-1374767
;;68653;1088610;473179;1088552-1088610;10645;1374770-1088552;50164414;1374765-1374770
;;68653;1088610;473179;1088552-1088610;10645;1374770-1088552;50164590;1239566-1374770
;;68918;1095749;473420;1095734-1095749;479584;1203900-1095734;50163564;1203899-1203900
;;68918;1095749;473420;1095734-1095749;10665;1224799-1095734;50102792;1203076-1224799
;;67604;1106612;473177;1379854-1106612;419783;1379852-1379854;50108811;1167068-1379852
;;67604;1106612;43247;1106611-1106612;472469;1080394-1106611;50118841;1111136-1080394
;;67604;1106612;43247;1106611-1106612;472018;1078548-1106611;50117229;1110863-1078548
;;67625;1099637;473587;1099605-1099637;477253;1141076-1099605;50074186;1181854-1141076
;;67625;1099637;473587;1099605-1099637;16196;1141169-1099605;50022450;1175536-1141169
;;67625;1099637;473588;1099626-1099637;478947;1186132-1099626;50162736;1186131-1186132
;;67658;1092782;43131;1092772-1092782;41031;1092776-1092772;50024464;412253-1092776
;;67658;1092782;473357;1092751-1092782;472162;1079152-1092751;50025121;1032125-1079152
;;67658;1092782;473357;1092751-1092782;16317;874742-1092751;50022584;1175623-874742
;;68980;1274415;473171;1226346-1274415;472235;1079458-1226346;50116679;1384859-1079458
;;68980;1274415;473171;1226346-1274415;10529;1226345-1226346;50102654;1203412-1226345
;;67839;1097365;473483;1097385-1097365;411238;1316062-1097385;50117657;1384594-1316062
;;67839;1097365;473483;1097385-1097365;480165;1316066-1097385;50120423;1216610-1316066
;;67805;1095457;472312;1079764-1095457;472311;1079763-1079764;50116477;1384865-1079763
;;67805;1095457;472312;1079764-1095457;483842;1384719-1079764;50116890;1384718-1384719
;;67805;1095457;47942;1095458-1095457;471374;1075971-1095458;50117973;1110471-1075971
;;67917;1119609;47199;1119608-1119609;471086;1074869-1119608;50118250;1110317-1074869
;;67920;1091401;473270;1091380-1091401;411320;411872-1091380;50025027;964617-411872
;;67920;1091401;473270;1091380-1091401;6173;6173-1091380;50073593;1181077-6173
;;411385;1119782;411384;1119781-1119782;471871;1077954-1119781;50117269;1110768-1077954
;;411385;1119782;473297;1092016-1119782;471182;1075237-1092016;50118126;1384585-1075237
;;462934;1106625;473343;1092463-1106625;470865;1074014-1092463;50022412;1295636-1074014
;;462934;1106625;462901;1106623-1106625;471508;1076504-1106623;50117810;1110549-1076504
;;62064;841014;473170;1088899-841014;471332;1075811-1088899;50118000;1384588-1075811
;;62064;841014;473170;1088899-841014;483834;1384685-1088899;50116899;1384684-1384685
;;62064;841014;473170;1088899-841014;472802;1081762-1088899;50116106;1081761-1081762
;;62139;1097249;47181;1097248-1097249;41041;1097203-1097248;50024474;412241-1097203
;;62139;1097249;47181;1097248-1097249;471395;1076045-1097248;50117948;1110483-1076045
;;62139;1097249;473479;1097220-1097249;483827;1384655-1097220;50116907;1384654-1384655
;;62139;1097249;473479;1097220-1097249;10033;1374673-1097220;50075412;1255174-1374673
;;62139;1097249;473479;1097220-1097249;9803;1374660-1097220;50075305;1255266-1374660
;;62168;1087767;473142;1087755-1087767;9706;828085-1087755;50075201;1337186-828085
;;62168;1087767;473142;1087755-1087767;483831;1384673-1087755;50116902;1384672-1384673
;;62168;1087767;473142;1087755-1087767;470684;1073345-1087755;50118533;1384578-1073345
;;62168;1087767;47158;1183668-1087767;41037;41037-1183668;50024470;412249-41037
;;73098;73098;58267;58267-73098;41021;41021-58267;50024454;412279-41021
;;73096;73096;473499;1097968-73096;472829;1081878-1097968;50141434;1266686-1081878
;;62351;1095439;473407;1095441-1095439;41685;41685-1095441;50073923;1181648-41685
;;62471;1099522;473603;1100019-1099522;6755;1100016-1100019;50118040;1384587-1100016
;;73278;1091847;473288;1319744-1091847;36432;1251478-1319744;50141987;1266623-1251478
;;71501;71501;45575;45575-71501;27484;996957-45575;50115068;1260736-996957
;;70899;1277378;46610;1277377-1277378;23730;1277339-1277377;50144495;1263814-1277339
;;70899;1277378;46610;1277377-1277378;36786;1277357-1277377;50124181;1264675-1277357
;;73392;73392;44036;44036-73392;19118;19118-44036;50005677;1151131-19118
;;73329;1209714;479833;1380049-1209714;37460;1380032-1380049;50116695;1380415-1380032
;;73329;1209714;479833;1380049-1209714;37460;1380032-1380049;50005765;1207822-1380032
;;73329;1209714;479833;1380049-1209714;37460;1380032-1380049;50153221;1207907-1380032
;;479892;1208493;43370;43370-1208493;19184;1368967-43370;50005770;1139451-1368967
;;70186;70186;462917;1017739-70186;483708;1384381-1017739;50149277;1381651-1384381
;;70186;70186;44838;1017747-70186;41857;1348842-1017747;50146324;1329762-1348842
;;479993;1384370;58579;58579-1384370;26651;1369353-58579;50121785;1276720-1369353
